user_id	login	coalition_id	score	rank	updated_at
101863	romvan-d	54	19950	2	2025-10-28T13:59:19.392Z
128801	sgodin	53	95	96	2025-11-04T11:02:12.826Z
144711	mgigot	53	38	104	2025-11-04T12:56:12.371Z
146051	rsainas	52	10275	3	2025-11-05T15:57:15.923Z
201648	emarlier	54	380	86	2025-11-06T13:06:50.116Z
178135	fimazouz	54	380	86	2025-11-06T14:04:12.289Z
144550	kdegryse	54	1	125	2025-11-06T15:03:59.656Z
178150	mavissar	53	57	99	2025-11-09T03:03:15.621Z
178116	akostian	53	19	106	2025-11-09T03:03:38.614Z
128760	mdor	52	15352	2	2025-11-12T16:16:12.282Z
201662	trouilla	54	11200	11	2025-11-13T17:39:59.133Z
166880	nledent	53	18156	2	2025-11-14T09:36:17.461Z
236294	kghesqui	54	219	100	2025-11-14T16:36:45.504Z
178077	agoldber	52	4443	11	2025-11-15T17:08:15.124Z
192015	jdebrull	54	3670	26	2025-11-16T03:02:47.261Z
178318	gdandele	52	3529	17	2025-11-16T03:03:24.547Z
178012	sredjeb	53	12027	8	2025-11-16T03:04:29.515Z
201788	kvanden-	53	10807	11	2025-11-17T15:15:26.315Z
236013	aurrakot	54	554	74	2025-11-17T16:17:50.872Z
236253	rnacer	52	19	94	2025-11-17T16:17:51.197Z
236391	thde-moo	52	219	73	2025-11-17T16:17:59.512Z
236344	nfinck	54	219	100	2025-11-17T16:17:59.979Z
145793	vdenisse	53	57	99	2025-11-17T17:24:15.960Z
201677	magoosse	52	380	63	2025-11-18T09:58:26.317Z
35369	wdaher-a	52	19	94	2025-11-18T10:18:21.955Z
62123	artainmo	52	19	94	2025-11-18T10:19:02.476Z
35403	gdrion	52	19	94	2025-11-18T10:19:12.282Z
35390	wdeltenr	53	1883	37	2025-11-18T10:19:23.545Z
201724	saouragh	52	385	62	2025-11-18T10:44:53.238Z
178039	jpaulis	53	456	74	2025-11-18T12:27:43.475Z
192024	jilin	53	609	63	2025-11-19T15:38:59.220Z
201660	aahadji	54	1314	50	2025-11-19T18:48:11.320Z
192254	lowatell	52	4404	12	2025-11-19T19:27:45.761Z
236385	ripelckm	54	196	102	2025-11-20T12:30:39.170Z
201838	maxweert	54	76	114	2025-11-20T18:05:07.399Z
201799	llebugle	53	380	81	2025-11-20T18:17:41.208Z
192041	rodantec	54	114	111	2025-11-21T13:38:06.615Z
178083	fdaems	52	38	92	2025-11-21T15:23:36.974Z
178125	slangero	54	19	121	2025-11-21T20:05:15.866Z
218618	frde-cli	53	19	106	2025-11-22T03:04:23.102Z
144585	raneuman	53	8599	15	2025-11-23T23:21:14.833Z
168965	dzapata	54	9041	15	2025-11-23T23:21:17.739Z
165207	ngharian	53	532	68	2025-11-24T13:33:15.421Z
235980	jadli	54	175	105	2025-11-24T15:26:09.808Z
231103	ardashya	54	276	92	2025-11-24T16:44:25.372Z
201305	jfranco	53	1	112	2025-11-25T10:33:59.491Z
236416	eprocure	54	403	84	2025-11-25T13:56:14.025Z
146050	vsarana	53	19	106	2025-11-25T21:14:14.110Z
144527	inasar	53	19	106	2025-11-25T21:54:49.563Z
168918	mcygan	52	8219	6	2025-11-26T13:28:45.344Z
178604	najeuneh	53	428	78	2025-11-26T15:11:45.943Z
178030	vpelc	54	114	111	2025-11-27T11:26:50.356Z
236277	tlogtenb	54	684	66	2025-11-27T12:36:54.142Z
236290	jamoons	52	590	52	2025-11-27T19:40:51.854Z
132504	npavelic	53	114	92	2025-11-28T10:56:44.480Z
236284	ibmarten	54	238	98	2025-11-28T19:46:47.484Z
231093	tfosseux	54	271	94	2025-11-28T23:00:39.455Z
201864	ombatkam	53	114	92	2025-11-29T13:47:41.803Z
168900	efret	53	10275	13	2025-11-29T16:33:51.982Z
201293	mael-faq	53	19	106	2025-11-29T19:46:44.666Z
132728	gmarchal	52	367	66	2025-11-29T20:28:12.149Z
201731	isall	53	13700	5	2025-11-30T16:12:01.274Z
236380	dde-paul	53	605	64	2025-11-30T22:16:51.772Z
236399	mben-mer	54	232	99	2025-11-30T23:13:41.910Z
178074	rdelangh	53	437	76	2025-12-01T09:58:17.871Z
236262	gimoeren	54	194	103	2025-12-01T11:46:03.952Z
214570	dcasiell	53	1751	40	2025-12-01T13:58:17.797Z
236002	opiccare	54	819	63	2025-12-01T14:33:42.532Z
218600	igur	52	1333	39	2025-12-01T14:53:46.397Z
201702	mikellen	52	4193	14	2025-12-01T14:53:51.382Z
230797	atran-ng	52	175	81	2025-12-01T16:35:25.148Z
132834	aburnott	52	19	94	2025-12-01T17:44:20.269Z
231718	akhalfou	53	175	87	2025-12-01T18:43:05.513Z
201205	msochor	53	1336	46	2025-12-02T11:39:46.494Z
178021	pitroin	53	11569	10	2025-12-02T12:08:40.880Z
201722	malafont	52	19	94	2025-12-02T12:27:33.152Z
178084	sklaps	52	8770	5	2025-12-02T13:28:48.002Z
236306	cel-hajj	54	810	64	2025-12-02T16:08:40.110Z
132920	mgomes-d	53	12088	7	2025-12-02T17:35:47.693Z
95527	jdecorte	53	8531	16	2025-12-02T17:35:47.701Z
97369	gscarama	54	12088	6	2025-12-02T17:35:47.716Z
201920	pvandebe	54	57	119	2025-12-02T17:54:47.660Z
218592	dzotti	54	1519	44	2025-12-02T18:43:05.833Z
230798	akhalidi	53	175	87	2025-12-02T18:43:06.319Z
38492	tcastron	52	42	91	2025-12-02T19:33:46.535Z
165384	gdelvign	54	19	121	2025-12-02T19:39:33.999Z
231284	wakanze	52	194	77	2025-12-02T20:19:14.759Z
201696	jmaizel	54	10360	12	2025-12-03T09:48:43.118Z
231905	hpieterh	52	208	76	2025-12-03T15:23:49.119Z
178210	meskrabe	54	19	121	2025-12-03T15:32:24.721Z
236387	bwassink	52	219	73	2025-12-03T15:59:52.239Z
231114	mde-bruy	52	548	56	2025-12-03T16:02:35.806Z
178098	gnyssens	53	95	96	2025-12-03T17:20:45.923Z
214868	hlongin	52	449	59	2025-12-03T17:28:09.920Z
178189	nicleena	52	19	94	2025-12-03T18:15:10.978Z
215079	bel-rass	52	175	81	2025-12-03T18:43:07.315Z
236384	aouassar	54	586	72	2025-12-03T18:52:43.002Z
231723	akmensso	52	194	77	2025-12-03T19:36:46.450Z
165390	kederhet	54	19870	3	2025-12-04T12:50:40.359Z
109132	cycollar	54	513	77	2025-12-04T12:51:11.774Z
165391	gcools	54	11609	10	2025-12-04T13:18:40.463Z
165325	npremont	54	11704	9	2025-12-04T13:36:44.511Z
165644	kmailleu	53	19794	1	2025-12-04T13:48:41.290Z
165401	jveirman	54	11989	7	2025-12-04T13:51:10.989Z
236349	sabogart	54	194	103	2025-12-04T14:29:06.745Z
165170	hle-roi	53	4062	26	2025-12-04T15:04:45.087Z
218606	jolauwer	52	699	50	2025-12-04T15:39:48.983Z
165230	jgoudema	53	315	82	2025-12-04T16:06:01.025Z
192031	jowoundi	53	3000	28	2025-12-04T17:20:12.733Z
145230	tafocked	53	8276	17	2025-12-04T17:24:40.034Z
214598	bvan-duy	53	2459	30	2025-12-04T17:30:19.294Z
144584	yohanafi	52	20	93	2025-12-04T17:56:20.076Z
214895	tbussele	53	1456	44	2025-12-04T18:42:52.283Z
214900	sclaeys	54	644	68	2025-12-04T18:42:52.737Z
230807	koulad-s	54	175	105	2025-12-04T18:42:53.123Z
236272	ade-bie	52	1120	44	2025-12-04T18:42:53.547Z
159846	plachard	52	570	55	2025-12-04T21:17:44.278Z
236295	cdouny	52	751	49	2025-12-05T07:00:24.275Z
201853	huburton	52	114	86	2025-12-05T08:36:13.361Z
236285	dloic	52	588	53	2025-12-05T11:12:42.153Z
192002	norban	53	57	99	2025-12-05T11:44:11.331Z
230775	lmoreau	54	567	73	2025-12-05T13:19:45.046Z
201725	apierret	54	133	109	2025-12-05T13:53:57.079Z
178402	qalpesse	53	498	72	2025-12-05T13:57:41.150Z
214994	radib	53	1718	41	2025-12-05T14:37:41.854Z
159681	ekina	54	8732	16	2025-12-05T14:55:13.217Z
191559	praucq	52	513	57	2025-12-05T15:01:16.651Z
201268	juhanse	52	176	80	2025-12-05T15:03:04.628Z
144554	gde-win	54	551	75	2025-12-05T15:20:41.966Z
178089	eschmitz	54	11778	8	2025-12-05T15:48:11.595Z
236348	tdhenain	53	2173	33	2025-12-05T15:50:22.982Z
192074	chassani	52	19	94	2025-12-05T16:15:29.389Z
178324	mvandeve	52	171	84	2025-12-05T16:31:15.629Z
178312	isadbaib	54	73	116	2025-12-05T16:38:14.521Z
178399	nicolive	52	4404	12	2025-12-05T17:04:43.287Z
201890	maxleroy	54	133	109	2025-12-05T17:20:12.426Z
201220	jvenkata	54	975	60	2025-12-05T17:40:41.359Z
201786	cstevens	52	3872	16	2025-12-05T17:55:48.184Z
230791	mghitta	53	611	62	2025-12-05T18:18:50.652Z
165223	ade-beco	54	2632	33	2025-12-05T18:27:41.759Z
144506	wkhattab	54	273	93	2025-12-05T18:40:45.006Z
145263	grorban	54	551	75	2025-12-05T18:44:46.353Z
214915	erandjel	53	57	99	2025-12-05T19:03:42.668Z
214863	sariee	52	380	63	2025-12-05T19:45:12.555Z
191594	nmarchan	53	76	98	2025-12-05T20:15:13.210Z
236269	mderouic	52	308	67	2025-12-05T20:35:42.135Z
214871	ticharli	53	551	66	2025-12-05T20:37:11.041Z
215009	ibettenc	53	1280	49	2025-12-05T21:02:16.017Z
178025	mel-bout	53	285	84	2025-12-05T21:24:43.421Z
191544	qmorinea	52	437	60	2025-12-05T21:56:10.056Z
145430	jonlagas	53	5347	24	2025-12-05T22:13:47.148Z
145310	brminner	54	245	96	2025-12-05T23:30:12.059Z
236354	nklaarmo	54	289	91	2025-12-06T03:02:36.979Z
218619	iprovo	53	175	87	2025-12-06T03:03:15.709Z
178113	jade-vla	53	7157	20	2025-12-06T03:03:27.051Z
201211	jdellopo	53	2880	29	2025-12-06T03:03:33.686Z
144502	jgasparo	54	171	108	2025-12-06T03:03:38.374Z
214602	ochkaoul	54	3338	29	2025-12-06T03:04:03.088Z
201214	vpoelman	54	2852	32	2025-12-06T03:04:04.487Z
214573	vgoudese	52	240	72	2025-12-06T03:04:05.987Z
214954	britela-	52	1325	40	2025-12-06T03:04:12.496Z
192091	ydraouil	52	1338	38	2025-12-06T03:04:15.232Z
214869	ouamarko	52	1597	34	2025-12-06T03:04:16.576Z
231121	rmathlou	52	257	70	2025-12-06T03:04:24.689Z
214889	gcauchy	53	5099	25	2025-12-06T03:04:46.864Z
79495	hmesnard	52	19	94	2025-12-06T05:59:45.595Z
236296	mcarrara	54	656	67	2025-12-06T14:34:55.690Z
236356	gpeixoto	53	9422	14	2025-12-06T14:54:12.510Z
192034	rodebacq	54	399	85	2025-12-06T15:39:41.223Z
201946	sbrugman	52	2574	24	2025-12-06T16:42:14.959Z
201332	agaland	54	60	118	2025-12-06T16:59:42.171Z
201690	mwattier	54	3967	23	2025-12-06T17:42:09.926Z
214983	mameerbe	53	38	104	2025-12-06T18:17:10.396Z
201734	sinawara	54	13795	4	2025-12-06T18:27:59.964Z
231102	ovon-hir	53	959	59	2025-12-06T18:38:44.938Z
159830	gfinet	54	13027	5	2025-12-06T18:42:53.501Z
236271	fdeville	54	240	97	2025-12-06T18:42:55.314Z
159816	akloster	53	7627	18	2025-12-06T19:02:09.755Z
230767	nkhotbi	52	1259	41	2025-12-06T19:19:10.559Z
214658	abdel-bo	52	380	63	2025-12-06T20:12:19.631Z
201708	fkrakow	52	3012	20	2025-12-06T21:42:13.633Z
214614	alel-che	54	38	120	2025-12-06T23:00:41.009Z
178581	bclaeys	53	10462	12	2025-12-06T23:00:41.980Z
159747	marykman	52	4668	10	2025-12-06T23:00:42.325Z
178389	rtektas	53	817	61	2025-12-07T03:16:48.488Z
236292	badekeul	54	267	95	2025-12-07T10:52:14.893Z
236282	acharrat	54	308	90	2025-12-07T14:39:39.727Z
231168	mduhoux	52	194	77	2025-12-07T15:39:10.094Z
236386	anzongan	54	981	59	2025-12-07T15:46:12.802Z
236291	rvaz-da-	54	867	62	2025-12-07T15:47:12.444Z
159726	lvodak	54	769	65	2025-12-07T17:16:39.566Z
214612	nel-yama	53	1832	38	2025-12-07T17:50:44.709Z
191543	yel-ouah	52	575	54	2025-12-07T18:01:11.298Z
159663	thomvan-	52	9649	4	2025-12-07T18:13:40.297Z
38382	pvanderl	52	19	94	2025-12-07T18:15:18.943Z
236283	acobbaer	53	1026	57	2025-12-07T18:32:47.667Z
192022	ajami	52	1960	33	2025-12-07T18:42:17.108Z
